date,uav_daily,ballistic_daily,cruise_daily,uav_cum,ballistic_cum,cruise_cum
2026/2/28,209,137,0,209,137,0
2026/3/1,332,28,2,541,165,2
2026/3/2,148,9,6,689,174,8
2026/3/3,123,12,0,812,186,8
2026/3/4,129,3,0,941,189,8
2026/3/5,131,7,0,1072,196,8
2026/3/6,112,9,0,1184,205,8
2026/3/7,121,16,0,1305,221,8
2026/3/8,117,17,0,1422,238,8
2026/3/9,18,15,0,1440,253,8
2026/3/10,35,9,0,1475,262,8
2026/3/11,39,6,7,1514,268,15
2026/3/12,26,10,0,1540,278,15
2026/3/13,27,7,0,1567,285,15
2026/3/14,33,9,0,1600,294,15
2026/3/15,6,4,0,1606,298,15
2026/3/16,21,6,0,1627,304,15
2026/3/17,45,10,0,1672,314,15
2026/3/18,27,13,0,1699,327,15
2026/3/19,15,7,0,1714,334,15
2026/3/20,26,4,0,1740,338,15
2026/3/21,8,3,0,1748,341,15
2026/3/22,25,4,0,1773,345,15
2026/3/23,16,7,0,1789,352,15
2026/3/24,17,5,0,1806,357,15
2026/3/25,9,0,0,1815,357,15
2026/3/26,11,15,0,1826,372,15
2026/3/27,9,6,0,1835,378,15
2026/3/28,37,20,0,1872,398,15
2026/3/29,42,16,0,1914,414,15
2026/3/30,27,11,0,1941,425,15
2026/3/31,36,8,4,1977,433,19
2026/4/1,35,5,0,2012,438,19
2026/4/2,26,19,0,2038,457,19
2026/4/3,47,18,4,2085,475,23
2026/4/4,56,23,0,2141,498,23
2026/4/5,50,9,1,2191,507,24
2026/4/6,19,12,2,2210,519,26
2026/4/7,11,1,0,2221,520,26
2026/4/8,35,17,0,2256,537,26
2026/4/9,0,0,0,2256,537,26
2026/4/10,0,0,0,2256,537,26
2026/4/11,0,0,0,2256,537,26
2026/4/12,0,0,0,2256,537,26
2026/4/13,0,0,0,2256,537,26